age,profession,martial_status,education,house,loan,gender,ava_bal,assets,car,bike,fraud
43,4,1,1,1,0,0,40315,6646,0,0,0
47,6,1,2,1,0,0,33407,43803,1,1,1
32,6,2,2,1,0,1,21978,12515,1,1,0
64,3,2,2,1,0,0,28044,7210,0,0,0
65,3,2,2,1,0,1,46088,45811,0,0,0
60,1,1,2,1,0,0,21293,47135,1,0,1
23,6,0,0,0,0,0,19293,15938,1,1,1
23,4,0,0,0,0,0,27889,34444,1,1,1
43,5,1,2,1,0,0,6305,39774,1,0,1
52,1,2,2,1,1,1,25600,48870,0,0,0
56,2,1,2,1,0,1,10380,39709,0,0,1
27,7,0,0,1,1,0,6790,40089,1,0,1
60,3,2,2,1,0,0,38274,37235,1,1,1
49,4,1,1,1,1,0,18036,41220,0,0,0
59,3,2,1,1,0,0,10913,32142,1,1,0
37,4,2,2,1,0,0,6648,6578,1,1,0
58,1,1,2,1,1,0,10378,14788,1,0,1
44,6,1,1,1,1,1,12768,40785,1,1,0
53,2,1,2,1,1,0,23435,23128,1,0,1
35,5,2,2,1,1,0,22409,29948,0,0,0
44,6,2,1,1,1,1,49381,47973,0,0,0
32,6,1,1,1,1,0,22277,47603,0,1,0
40,7,1,2,1,1,1,25921,13227,1,0,1
30,7,0,1,1,1,0,14481,14772,0,0,1
34,5,1,1,1,1,0,1027,32884,0,1,0
42,6,1,1,1,0,0,20523,16384,0,1,1
38,6,1,2,1,0,1,13625,20587,0,0,0
48,5,1,1,1,1,1,32000,20883,0,0,1
38,7,1,1,1,0,1,18016,18903,1,1,0
32,5,2,1,1,1,0,42639,29774,1,0,0
57,3,2,2,1,0,1,2029,19477,1,0,0
56,3,1,2,1,0,0,28595,18161,0,1,1
30,7,0,1,1,1,1,10651,35587,0,0,1
64,3,2,2,1,0,0,8183,33066,1,0,0
21,7,0,0,0,0,0,33830,22468,1,0,1
57,3,1,1,1,1,0,40691,13253,1,0,1
24,7,0,0,0,1,1,34602,47689,0,0,0
39,5,2,1,1,1,0,33110,20698,1,1,1
48,6,1,1,1,1,0,2002,1671,1,1,1
33,4,2,1,1,0,0,40303,39339,0,0,0
31,7,2,2,1,0,0,11209,27015,0,0,1
57,1,2,1,1,1,1,1479,24752,0,1,1
39,4,1,2,1,0,1,24828,5542,0,1,1
30,5,0,2,1,0,1,2015,9778,1,0,0
46,4,2,1,1,1,1,41412,14211,1,0,1
26,4,0,0,0,1,1,31746,41083,0,1,1
45,5,1,1,1,0,1,44113,49852,0,1,1
23,4,0,0,0,0,0,15266,712,0,1,0
46,4,1,1,1,1,0,43892,22748,0,1,0
65,2,2,2,1,0,0,4899,41029,1,0,1
22,6,0,0,0,1,0,20486,2691,0,0,1
64,1,1,2,1,0,0,2249,27942,1,0,0
37,5,2,2,1,0,1,34664,17376,0,0,1
29,6,0,0,1,0,1,22643,45658,0,0,1
30,6,0,1,1,1,0,11713,3875,0,1,1
52,1,2,1,1,1,0,22784,45684,1,0,0
24,5,0,0,0,0,1,34375,13359,1,0,1
55,3,1,1,1,1,0,13289,16515,0,0,0
61,1,2,1,1,1,0,38099,10492,0,1,0
57,3,2,1,1,0,0,4524,33611,1,0,0
57,1,2,2,1,0,0,8019,5528,1,0,1
20,5,0,0,0,1,1,1227,15459,1,0,0
25,4,0,0,0,0,0,22440,3479,1,0,1
52,2,2,2,1,1,1,48564,24206,1,1,1
34,4,2,2,1,1,1,42639,40279,0,0,0
58,2,2,1,1,0,0,16518,13405,0,1,1
52,3,1,1,1,0,1,25320,22971,1,1,1
48,5,2,1,1,0,1,26763,13377,1,1,1
29,6,0,0,1,1,1,31814,40404,0,0,0
31,6,1,2,1,1,1,40895,14130,1,0,1
60,2,1,2,1,0,1,25761,33506,1,1,1
59,2,1,1,1,1,1,18541,24398,1,1,1
61,1,2,1,1,0,0,2210,13114,1,1,0
20,5,0,0,0,1,1,39026,47676,0,0,1
34,7,2,1,1,0,0,11125,24120,0,0,1
33,6,2,1,1,0,1,48243,4955,1,0,0
56,1,1,2,1,1,0,22562,6215,0,1,0
27,4,0,0,1,0,0,47110,29318,1,0,1
62,2,1,2,1,1,1,37523,41242,1,0,0
23,7,0,0,0,0,1,12881,24151,1,1,1
26,5,0,0,0,0,1,10139,1248,1,0,0
23,5,0,0,0,0,1,26369,28437,1,1,1
49,7,1,2,1,0,0,2937,13299,0,0,0
64,2,1,1,1,0,1,12284,14099,0,1,0
47,6,2,1,1,0,1,22452,28950,0,0,1
39,6,2,2,1,0,1,47343,32901,1,1,1
58,3,1,1,1,1,1,22230,7304,1,1,0
31,6,2,2,1,1,0,20125,28538,0,0,1
20,7,0,0,0,1,0,36578,42621,1,1,1
62,2,2,2,1,1,0,35977,18757,1,1,0
24,7,0,0,0,0,0,9115,20267,1,0,0
47,5,1,2,1,0,0,48658,28531,1,0,0
44,6,2,2,1,1,1,19694,14760,1,1,1
54,1,1,2,1,1,1,7564,295,0,0,0
62,2,1,1,1,0,1,14868,23673,1,1,0
41,4,2,1,1,0,1,17009,48804,0,1,0
39,6,1,2,1,0,0,26203,9006,0,1,1
30,5,0,1,1,0,1,49407,16151,1,1,0
53,3,1,1,1,1,0,40671,34321,1,1,0
59,2,1,1,1,1,0,31105,23631,1,0,1
38,6,2,2,1,0,1,23484,5573,1,1,1
23,7,0,0,0,0,0,10718,39161,1,0,0
28,6,0,0,1,0,0,2138,44691,1,1,0
58,2,1,2,1,0,1,37051,20393,1,0,0
42,5,1,2,1,1,1,20377,16970,1,0,1
44,7,1,1,1,0,0,40714,3093,0,1,0
49,7,1,1,1,1,1,33358,48444,1,1,1
63,2,1,2,1,1,1,28607,2648,0,1,0
38,6,2,2,1,0,0,40910,20163,1,0,1
28,4,0,0,1,1,1,46634,25282,1,1,0
64,3,1,1,1,0,1,22509,13352,1,1,1
26,5,0,0,0,0,0,20395,41717,0,0,0
47,7,2,2,1,1,1,37674,8013,0,1,1
59,2,2,2,1,1,0,40529,28022,1,1,0
57,2,1,2,1,1,1,10248,32376,0,1,0
63,2,2,1,1,0,0,22567,7575,0,0,1
62,1,1,1,1,1,1,14568,26093,0,1,1
39,4,1,1,1,1,0,33996,40343,0,1,0
62,3,2,1,1,1,0,8887,5007,0,0,1
49,5,2,1,1,1,1,9581,4782,1,1,0
29,7,0,0,1,1,1,7580,19010,1,0,1
58,2,2,1,1,1,0,19148,17152,0,0,0
25,4,0,0,0,0,1,6957,3109,0,1,1
24,4,0,0,0,1,1,68,23416,0,1,1
47,4,1,2,1,0,0,43143,23845,0,0,0
41,4,1,2,1,0,0,42629,6659,0,0,1
63,1,2,2,1,0,0,12040,11031,0,1,1
57,2,2,2,1,0,1,1092,22669,1,0,1
45,6,2,1,1,0,0,15435,41064,0,0,0
32,4,1,2,1,1,1,11539,38332,1,1,1
30,7,0,1,1,1,1,3684,23698,1,0,0
56,3,1,2,1,1,0,18615,15097,1,1,0
49,5,1,2,1,1,0,12752,48086,1,1,0
23,5,0,0,0,0,1,21897,2837,0,0,0
49,6,2,2,1,1,0,11654,47122,0,1,0
49,4,2,2,1,0,0,47641,43686,1,1,1
53,1,1,2,1,0,1,30822,10965,1,0,1
32,5,1,2,1,0,1,34129,5816,1,0,1
21,7,0,0,0,0,1,30700,49250,0,0,0
31,5,2,2,1,0,1,42485,2875,1,1,1
49,7,1,2,1,1,1,43065,49193,0,1,0
57,2,1,2,1,1,1,17296,29790,1,0,1
56,2,2,1,1,1,0,24441,35713,1,0,0
29,4,0,0,1,1,0,32689,45291,0,0,0
24,7,0,0,0,0,1,13041,35969,0,0,0
53,3,2,1,1,0,1,18197,17267,1,1,0
45,6,1,2,1,1,1,12518,11157,1,0,0
24,4,0,0,0,1,1,28367,27492,0,1,1
63,2,2,1,1,1,0,13857,30017,1,0,0
31,4,2,1,1,1,1,41513,28468,0,0,0
38,5,2,2,1,1,0,42006,7297,0,1,1
42,6,1,2,1,0,1,29649,12758,1,0,1
57,2,1,1,1,0,1,44133,37123,0,0,1
39,7,1,2,1,1,1,11234,28014,0,0,0
21,4,0,0,0,1,1,1536,29507,0,1,1
61,1,1,2,1,0,0,18256,27684,1,1,1
48,4,2,2,1,1,1,42239,4750,1,0,0
26,4,0,0,0,1,0,3840,9551,0,1,0
54,1,1,2,1,0,0,25693,5329,0,0,0
49,4,1,2,1,1,0,16078,36463,1,1,1
50,7,1,1,1,0,1,41318,32202,0,1,1
48,5,2,1,1,1,0,41135,13410,0,1,1
23,6,0,0,0,1,0,22964,4689,0,1,0
56,2,1,1,1,0,0,8943,39554,1,0,0
46,5,2,2,1,1,1,27520,32151,0,1,1
31,5,2,2,1,1,1,6619,6029,0,0,1
30,6,0,2,1,1,0,26900,18666,1,0,0
63,2,2,1,1,0,1,35054,37944,1,0,0
51,6,2,1,1,0,1,44568,38409,0,1,0
38,5,1,2,1,0,1,1109,22765,1,1,0
25,6,0,0,0,0,1,45199,37716,1,1,1
41,4,2,1,1,1,1,2838,38017,1,1,0
59,3,1,1,1,1,0,37509,7101,1,1,1
51,4,1,2,1,1,1,27677,28870,0,1,0
26,4,0,0,0,1,0,3886,13669,1,1,0
39,4,1,1,1,1,1,15591,23229,0,0,0
64,3,1,1,1,1,0,10295,17689,1,1,0
21,4,0,0,0,0,1,12227,22274,0,0,1
40,7,2,2,1,0,1,4088,7234,1,1,0
63,1,2,1,1,0,1,27166,5823,1,0,0
46,5,2,2,1,1,0,27124,27065,0,1,1
42,7,2,2,1,1,1,49173,13992,0,0,1
36,5,2,1,1,1,1,48470,49567,1,0,1
32,7,1,2,1,1,1,4453,10320,1,1,1
30,5,0,2,1,1,0,13567,29342,1,0,1
34,7,2,2,1,0,0,29545,39805,1,1,0
40,4,1,1,1,0,0,44666,29558,1,1,1
46,5,1,2,1,0,1,49900,33770,1,0,0
52,2,2,2,1,0,0,13452,11566,0,0,0
56,3,1,1,1,1,0,24349,39952,0,0,1
41,7,2,2,1,1,0,19122,13712,0,0,0
42,7,2,2,1,1,1,22497,17687,0,0,1
31,6,1,1,1,1,1,49395,6128,0,1,1
35,4,2,1,1,0,1,36858,3509,1,0,0
48,5,1,2,1,1,0,26143,39621,1,1,0
50,5,1,1,1,0,1,47249,19165,1,1,1
41,7,2,2,1,1,0,14838,48857,1,0,1
59,2,1,1,1,0,0,25889,12948,0,0,0
35,6,1,2,1,0,0,34086,48242,0,1,1
38,4,1,2,1,0,0,6026,39490,1,0,0
23,5,0,0,0,0,1,44046,44008,1,1,1
49,4,1,2,1,0,1,1969,15608,0,0,0
38,4,1,1,1,0,0,23178,44924,1,0,0
55,3,2,1,1,1,0,2842,6522,0,0,0
44,6,1,2,1,1,1,6655,4721,0,1,0
26,6,0,0,0,0,0,39658,46825,1,0,0
26,6,0,0,0,1,0,13611,33643,0,0,1
23,6,0,0,0,1,1,40956,21810,1,0,1
36,5,2,2,1,0,0,42350,21405,1,1,0
65,1,2,2,1,0,0,9238,28958,1,0,0
35,4,2,1,1,0,1,32207,5800,0,1,0
61,3,2,1,1,0,0,35900,46655,1,1,1
48,5,1,1,1,0,0,28884,25016,0,0,0
30,4,0,1,1,1,0,35189,24322,0,0,1
41,7,2,1,1,1,1,33736,38851,1,1,1
33,5,1,1,1,0,1,6371,18655,1,0,1
33,4,1,1,1,0,0,43298,47409,0,0,0
45,4,2,1,1,1,1,30171,25870,1,0,0
23,6,0,0,0,1,1,36726,46775,0,1,0
21,7,0,0,0,0,1,39997,4914,0,0,1
24,4,0,0,0,0,1,32644,34041,1,1,1
51,5,1,1,1,1,1,35093,12357,0,1,0
65,1,1,2,1,1,1,37928,8159,0,0,1
53,3,2,2,1,0,0,23211,33995,1,0,0
25,4,0,0,0,1,0,1385,31940,0,0,1
41,7,1,2,1,1,1,27429,31908,0,1,1
46,7,1,1,1,1,1,25700,6155,1,1,0
52,2,1,2,1,1,0,29939,27612,1,0,1
33,5,2,1,1,1,1,25659,8758,1,1,1
35,7,2,2,1,0,1,39688,37480,1,1,0
24,4,0,0,0,1,0,29888,10303,1,0,0
30,7,0,2,1,1,0,6086,2282,1,1,0
38,5,1,1,1,0,1,15283,4970,1,1,1
63,3,1,2,1,0,0,1705,19069,1,1,0
27,5,0,0,1,0,1,8312,46035,0,0,0
49,5,1,1,1,0,1,8435,49468,0,0,1
41,5,2,2,1,1,0,22303,7618,1,1,1
43,4,1,1,1,1,0,48567,6363,1,0,0
59,2,1,2,1,1,1,10925,11881,1,0,0
48,6,2,1,1,0,0,2406,12489,1,0,1
44,6,1,1,1,1,0,526,37017,0,1,0
62,1,1,2,1,0,1,21748,31332,1,1,1
56,3,1,1,1,0,1,30428,19635,1,0,1
35,4,1,1,1,0,0,1862,18511,0,1,0
33,6,2,2,1,0,1,42403,2255,0,1,1
20,7,0,0,0,1,0,33230,41719,0,0,0
62,1,1,1,1,0,0,46809,28685,1,1,1
26,5,0,0,0,0,0,41103,37799,0,0,1
55,3,2,2,1,0,1,36285,1126,0,1,1
25,6,0,0,0,0,1,28007,30621,0,1,1
43,5,1,1,1,1,0,25607,30847,1,0,1
23,4,0,0,0,1,0,41501,27475,0,0,1
34,4,2,1,1,0,1,41839,27140,0,1,0
24,5,0,0,0,1,1,142,39123,1,0,1
32,6,2,1,1,0,0,29947,30380,0,0,0
28,4,0,0,1,0,1,4622,4823,0,0,1
57,1,1,1,1,0,1,44591,30944,0,1,0
54,2,2,1,1,1,0,7698,20608,0,1,0
22,4,0,0,0,0,1,22221,16542,0,1,1
48,4,2,1,1,1,0,32271,32199,0,1,1
34,6,1,1,1,1,0,7626,18907,0,0,1
58,2,1,2,1,0,1,5626,32687,0,0,1
42,4,1,1,1,0,0,7222,19759,1,1,1
65,1,1,1,1,0,0,3940,13084,1,1,0
34,5,2,2,1,1,0,35603,46345,0,0,0
54,2,2,2,1,1,1,22761,36781,1,1,0
33,7,2,2,1,0,1,16543,30369,1,1,1
40,6,1,1,1,1,1,38108,34004,1,1,0
30,6,0,2,1,1,1,28347,30078,0,1,1
55,2,2,2,1,0,0,10159,2527,0,1,0
23,6,0,0,0,0,0,47998,32541,0,0,1
44,6,2,2,1,1,0,28684,26564,1,1,0
49,4,1,2,1,0,0,12970,955,1,0,0
62,3,1,1,1,1,1,11232,18447,1,1,0
48,6,2,1,1,1,0,20282,32665,1,1,1
59,3,1,2,1,1,0,15017,41077,1,0,1
40,7,2,1,1,0,1,31897,28014,1,1,1
31,4,1,1,1,0,0,27350,33933,1,1,1
43,5,2,2,1,1,1,22886,35603,1,1,0
27,4,0,0,1,0,1,42019,11863,1,1,1
27,5,0,0,1,0,1,34001,27956,0,1,1
36,6,2,1,1,1,0,41553,7730,0,1,0
28,7,0,0,1,0,1,48213,27943,0,0,0
46,7,2,1,1,1,0,10823,21,1,0,0
23,7,0,0,0,0,0,22356,25199,0,0,1
58,2,1,1,1,1,1,439,11853,1,0,1
34,4,1,1,1,1,1,28839,54,0,1,0
24,4,0,0,0,1,1,35110,22814,0,0,0
50,7,2,2,1,1,1,8777,3797,0,0,0
32,5,2,2,1,0,0,34592,47123,1,1,1
65,2,1,1,1,0,0,10899,33966,0,0,0
54,2,2,1,1,0,1,5455,4513,0,1,1
48,6,2,1,1,0,0,5814,43169,0,0,0
29,5,0,0,1,1,0,39595,21437,0,1,0
36,5,2,1,1,0,1,22908,42821,0,1,0
65,2,1,2,1,0,0,2177,14042,1,0,0
64,3,1,1,1,1,0,32228,15329,1,0,0
49,5,2,1,1,1,0,35103,41371,0,0,1
53,2,1,1,1,1,1,43553,9328,0,1,0
47,7,2,2,1,1,0,16897,34223,0,1,1
55,3,2,1,1,1,1,28137,49691,1,1,1
29,4,0,0,1,1,1,5689,35277,0,0,1
33,7,1,2,1,1,1,12318,11467,0,0,1
64,3,2,1,1,0,1,48423,21682,1,0,0
23,7,0,0,0,1,1,5408,15565,0,0,0
52,2,1,1,1,1,1,37536,47756,0,1,1
42,4,1,2,1,1,1,7875,24602,1,1,0
59,3,2,2,1,1,1,12118,47630,1,1,0
22,4,0,0,0,0,0,9834,2673,0,0,0
44,7,2,1,1,0,0,48009,37319,1,0,1
50,6,2,2,1,1,1,48461,20906,1,0,0
44,5,2,1,1,0,1,37393,42114,0,0,0
33,5,2,1,1,1,0,49897,49029,0,0,0
41,6,1,2,1,1,0,14792,21071,1,0,0
48,6,2,1,1,1,0,2785,38142,0,1,1
63,3,1,1,1,1,1,15385,1472,1,1,0
20,6,0,0,0,0,0,14837,35525,1,1,0
24,4,0,0,0,1,0,38059,17316,0,0,1
45,4,1,2,1,0,1,12393,1583,0,0,1
23,4,0,0,0,0,0,6365,48557,0,1,1
47,7,2,1,1,1,0,32588,2536,0,1,1
52,3,2,1,1,1,1,273,16691,0,0,0
47,7,1,2,1,0,0,46583,44697,1,1,0
45,6,2,2,1,0,1,8976,19726,0,0,0
40,4,1,2,1,0,0,18603,4289,1,1,0
58,1,2,2,1,0,1,42491,20280,1,1,0
54,2,1,1,1,0,0,7330,29862,1,0,0
30,6,0,2,1,1,1,46560,33235,0,0,1
38,5,1,2,1,0,0,34512,7329,1,1,1
42,4,2,1,1,0,0,13464,17809,0,1,0
23,7,0,0,0,1,1,23375,12690,1,1,0
52,1,1,2,1,1,0,5150,44313,1,0,0
36,6,1,1,1,0,1,21425,30182,0,1,1
48,6,1,1,1,1,0,41737,18131,1,1,0
54,3,2,1,1,0,0,36822,437,1,1,1
65,2,1,2,1,0,1,41889,6729,0,1,0
28,7,0,0,1,1,0,47683,20208,1,1,1
24,7,0,0,0,0,0,8726,40650,1,0,0
20,7,0,0,0,1,0,15170,45931,0,1,1
47,7,1,1,1,0,0,27639,4090,0,1,1
63,2,1,1,1,1,1,23606,13947,1,0,1
59,2,1,2,1,1,1,27894,45263,1,1,1
24,6,0,0,0,1,0,5929,18659,1,1,0
58,3,2,1,1,1,0,48981,6312,1,1,0
63,3,1,1,1,0,1,40917,36372,0,1,0
62,1,2,1,1,1,1,25706,30654,0,1,1
22,6,0,0,0,1,0,5949,3309,0,1,1
34,5,1,2,1,1,1,23381,35512,0,0,0
21,6,0,0,0,1,0,48179,45809,1,1,0
36,4,2,1,1,0,0,8523,19909,1,1,1
27,4,0,0,1,1,0,18467,19321,0,1,1
46,5,1,2,1,0,0,15537,13206,0,0,0
41,7,1,1,1,0,0,36512,2568,1,1,0
54,1,2,1,1,1,1,44414,34379,1,1,0
31,7,2,1,1,1,0,15498,12821,0,0,1
62,3,2,1,1,1,1,46972,34776,1,1,1
25,5,0,0,0,0,1,27443,45865,1,1,0
44,4,2,1,1,1,1,1327,11770,0,0,0
39,6,2,1,1,1,1,5243,4768,1,1,1
38,4,1,2,1,1,0,41497,37473,1,0,1
35,6,2,1,1,0,1,19518,35532,1,0,1
22,4,0,0,0,1,1,10213,25792,0,1,1
65,1,2,2,1,0,1,38275,29309,1,1,0
33,7,2,2,1,1,1,13344,24627,1,1,1
40,4,2,2,1,0,0,4094,47715,0,0,0
65,3,1,2,1,1,0,37107,34345,0,1,1
37,7,1,1,1,1,0,40312,38257,0,1,1
30,5,0,2,1,1,0,15695,21547,1,0,0
41,5,1,2,1,1,0,28196,35096,1,0,1
32,4,2,2,1,0,0,36339,17873,1,0,0
27,4,0,0,1,1,1,24646,37786,0,0,1
30,7,0,1,1,0,0,6080,46409,1,1,1
52,2,2,1,1,1,1,10565,25395,0,1,0
61,1,2,1,1,0,1,9726,15603,0,0,0
34,5,2,2,1,0,0,14557,6196,0,0,0
22,7,0,0,0,1,1,19173,13619,0,1,1
62,1,2,1,1,0,1,21672,20836,0,1,1
52,2,2,1,1,0,0,43736,29386,0,1,0
31,5,2,1,1,0,1,11600,569,1,0,0
58,2,1,2,1,0,0,33231,5798,0,1,1
62,1,1,2,1,1,0,48206,4022,0,0,1
62,1,1,2,1,0,0,47396,77,1,0,0
24,6,0,0,0,0,0,14627,47066,0,1,1
43,4,1,2,1,0,1,17678,32854,0,1,1
32,5,2,2,1,0,1,7135,32565,1,1,1
23,7,0,0,0,0,0,15016,37241,0,1,0
32,6,2,2,1,0,0,36252,21712,1,0,1
44,4,1,1,1,1,0,41042,43669,0,1,1
